name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Acushnet Holdings Corp,N/A,Acushnet Holdings Corp,005098108,,GOLF,US,EC,CORP
Addus HomeCare Corp,N/A,Addus HomeCare Corp,006739106,,ADUS,US,EC,CORP
Booking Holdings Inc,N/A,Booking Holdings Inc,09857L108,,BKNG,US,EC,CORP
BrightSpring Health Services I,N/A,BrightSpring Health Services Inc,10950A106,,BTSG,US,EC,CORP
Brookdale Senior Living Inc,N/A,Brookdale Senior Living Inc,112463104,,BKD,US,EC,CORP
Brunswick Corp/DE,N/A,Brunswick Corp/DE,117043109,,BC,US,EC,CORP
Callaway Golf Co,N/A,Callaway Golf Co,131193104,,CALY,US,EC,CORP
Sonida Senior Living Inc,N/A,Sonida Senior Living Inc,140475203,,SNDA,US,EC,CORP
Cooper Cos Inc/The,N/A,Cooper Cos Inc/The,216648501,,COO,US,EC,CORP
DAVITA INC,N/A,DAVITA INC,23918K108,,DVA,US,EC,CORP
Delta Air Lines Inc,N/A,Delta Air Lines Inc,247361702,,DAL,US,EC,CORP
DENTSPLY SIRONA Inc,N/A,DENTSPLY SIRONA Inc,24906P109,,XRAY,US,EC,CORP
ENCOMPASS HEALTH CORP,N/A,ENCOMPASS HEALTH CORP,29261A100,,EHC,US,EC,CORP
Ensign Group Inc/The,N/A,Ensign Group Inc/The,29358P101,,ENSG,US,EC,CORP
Envista Holdings Corp,N/A,Envista Holdings Corp,29415F104,,NVST,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
American Healthcare REIT Inc,N/A,American Healthcare REIT Inc,398182303,,AHR,US,EC,CORP
Hilton Grand Vacations Inc,N/A,Hilton Grand Vacations Inc,43283X105,,HGV,US,EC,CORP
Hims & Hers Health Inc,N/A,Hims & Hers Health Inc,433000106,,HIMS,US,EC,CORP
Hilton Worldwide Holdings Inc,N/A,Hilton Worldwide Holdings Inc,43300A203,,HLT,US,EC,CORP
Humana Inc,N/A,Humana Inc,444859102,,HUM,US,EC,CORP
LTC Properties Inc,N/A,LTC Properties Inc,502175102,,LTC,US,EC,CORP
Life Time Group Holdings Inc,N/A,Life Time Group Holdings Inc,53190C102,,LTH,US,EC,CORP
Eli Lilly & Co,N/A,Eli Lilly & Co,532457108,,LLY,US,EC,CORP
Lindblad Expeditions Holdings ,N/A,Lindblad Expeditions Holdings Inc,535219109,,LIND,US,EC,CORP
Marriott International Inc/MD,N/A,Marriott International Inc/MD,571903202,,MAR,US,EC,CORP
Medline Inc,N/A,Medline Inc,58507V107,,MDLN,US,EC,CORP
National HealthCare Corp,N/A,National HealthCare Corp,635906100,,NHC,US,EC,CORP
National Health Investors Inc,N/A,National Health Investors Inc,63633D104,,NHI,US,EC,CORP
National Vision Holdings Inc,N/A,National Vision Holdings Inc,63845R107,,EYE,US,EC,CORP
Nature's Sunshine Products Inc,N/A,Nature's Sunshine Products Inc,639027101,,NATR,US,EC,CORP
Omega Healthcare Investors Inc,N/A,Omega Healthcare Investors Inc,681936100,,OHI,US,EC,CORP
Pennant Group Inc/The,N/A,Pennant Group Inc/The,7.08E+113,,PNTG,US,EC,CORP
Peloton Interactive Inc,N/A,Peloton Interactive Inc,70614W100,,PTON,US,EC,CORP
Service Corp International/US,N/A,Service Corp International/US,817565104,,SCI,US,EC,CORP
Southwest Airlines Co,N/A,Southwest Airlines Co,844741108,,LUV,US,EC,CORP
Teladoc Health Inc,N/A,Teladoc Health Inc,87918A105,,TDOC,US,EC,CORP
Travel + Leisure Co,N/A,Travel + Leisure Co,894164102,,TNL,US,EC,CORP
United Airlines Holdings Inc,N/A,United Airlines Holdings Inc,910047109,,UAL,US,EC,CORP
Ventas Inc,N/A,Ventas Inc,92276F100,,VTR,US,EC,CORP
Viking Therapeutics Inc,N/A,Viking Therapeutics Inc,92686J106,,VKTX,US,EC,CORP
Welltower Inc,N/A,Welltower Inc,95040Q104,,WELL,US,EC,CORP
Alcon AG,N/A,Alcon AG,N/A,,ALC,CH,EC,CORP
Carnival Corp Ltd,N/A,Carnival Corp Ltd,N/A,,CCL,BM,EC,CORP
Medtronic PLC,N/A,Medtronic PLC,N/A,,MDT,US,EC,CORP
Norwegian Cruise Line Holdings,N/A,Norwegian Cruise Line Holdings Ltd,N/A,,NCLH,US,EC,CORP
Royal Caribbean Cruises Ltd,N/A,Royal Caribbean Cruises Ltd,N/A,,RCL,US,EC,CORP
Viking Holdings Ltd,N/A,Viking Holdings Ltd,N/A,,VIK,US,EC,CORP
