holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AIG,American International Group I,ODVCVCQG2BP6VHV36M30,American International Group Inc,026874784,US0268747849,AIG,297,NS,USD,22681.89,1.56,Long,EC,CORP,US,N,1,N,N,N
AIZ,Assurant Inc,H3F39CAXWQRVWURFXL38,Assurant Inc,04621X108,US04621X1081,AIZ,44,NS,USD,11509.52,0.79,Long,EC,CORP,US,N,1,N,N,N
APO,Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,198,NS,USD,26771.58,1.85,Long,EC,CORP,US,N,1,N,N,N
AXP,American Express Co,R4PP93JZOLY261QX3811,American Express Co,025816109,US0258161092,AXP,154,NS,USD,52062.78,3.59,Long,EC,CORP,US,N,1,N,N,N
AXSM,Axsome Therapeutics Inc,549300EXGR0XLRJEIB95,Axsome Therapeutics Inc,05464T104,US05464T1043,AXSM,44,NS,USD,10905.4,0.75,Long,EC,CORP,US,N,1,N,N,N
BGC,BGC Group Inc,2549001IGRCG4F0RLD36,BGC Group Inc,088929104,US0889291045,BGC,495,NS,USD,5979.6,0.41,Long,EC,CORP,US,N,1,N,N,N
BLK,Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,44,NS,USD,46276.56,3.19,Long,EC,CORP,US,N,1,N,N,N
BMY,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42,Bristol-Myers Squibb Co,110122108,US1101221083,BMY,748,NS,USD,40915.6,2.82,Long,EC,CORP,US,N,1,N,N,N
BNY,Bank of New York Mellon Corp/T,WFLLPEPC7FZXENRZV188,Bank of New York Mellon Corp/The,064058100,US0640581007,BNY,253,NS,USD,37049.32,2.56,Long,EC,CORP,US,N,1,N,N,N
BRX,Brixmor Property Group Inc,5299007UXW6Y0W2EGZ95,Brixmor Property Group Inc,11120U105,US11120U1051,BRX,308,NS,USD,9603.44,0.66,Long,EC,CORP,US,N,1,N,N,N
BX,Blackstone Inc,5299004LW4QWGZUB8Y96,Blackstone Inc,09260D107,US09260D1072,BX,275,NS,USD,33896.5,2.34,Long,EC,CORP,US,N,1,N,N,N
C,Citigroup Inc,6SHGI4ZSSLCXXQSBB395,Citigroup Inc,172967424,US1729674242,C,440,NS,USD,64094.8,4.42,Long,EC,CORP,US,N,1,N,N,N
CL,Colgate-Palmolive Co,YMEGZFW4SBUSS5BQXF88,Colgate-Palmolive Co,194162103,US1941621039,CL,374,NS,USD,33162.58,2.29,Long,EC,CORP,US,N,1,N,N,N
COMP,Compass Inc,254900DMGQSTC3I2IM78,Compass Inc,20464U100,US20464U1007,COMP,924,NS,USD,9036.72,0.62,Long,EC,CORP,US,N,1,N,N,N
DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,176,NS,USD,38961.12,2.69,Long,EC,CORP,US,N,1,N,N,N
DOCN,DigitalOcean Holdings Inc,549300EPISPY3RE3DL21,DigitalOcean Holdings Inc,25402D102,US25402D1028,DOCN,88,NS,USD,14629.12,1.01,Long,EC,CORP,US,N,1,N,N,N
ED,Consolidated Edison Inc,54930033SBW53OO8T749,Consolidated Edison Inc,209115104,US2091151041,ED,220,NS,USD,23522.4,1.62,Long,EC,CORP,US,N,1,N,N,N
EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,187,NS,USD,15807.11,1.09,Long,EC,CORP,US,N,1,N,N,N
ETSY,Etsy Inc,54930089Q7XT501AEA40,Etsy Inc,29786A106,US29786A1060,ETSY,99,NS,USD,7181.46,0.50,Long,EC,CORP,US,N,1,N,N,N
EVR,Evercore Inc,529900P6KLPT95DW3W58,Evercore Inc,29977A105,US29977A1051,EVR,33,NS,USD,12343.32,0.85,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,42134.35,NS,USD,42134.35,2.91,Long,STIV,RF,US,N,1,N,N,N
FOXA,Fox Corp,549300DDU6FDRBIELS05,Fox Corp,35137L105,US35137L1052,FOXA,165,NS,USD,8149.35,0.56,Long,EC,CORP,US,N,1,N,N,N
GS,Goldman Sachs Group Inc/The,784F5XWPLTWKTBV3E584,Goldman Sachs Group Inc/The,38141G104,US38141G1040,GS,66,NS,USD,73020.42,5.04,Long,EC,CORP,US,N,1,N,N,N
JEF,Jefferies Financial Group Inc,549300HOF34RGOJ5YL07,Jefferies Financial Group Inc,47233W109,US47233W1099,JEF,165,NS,USD,10363.65,0.72,Long,EC,CORP,US,N,1,N,N,N
